"filename", "language", "HTML", "PHP", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Codes\SMB_Website\Calculator\binomial_coefficient_calculator\binomialCoefficient.css", "CSS", 0, 0, 0, 0, 64, 0, 12, 76
"d:\Codes\SMB_Website\Calculator\binomial_coefficient_calculator\binomialCoefficient.html", "HTML", 104, 0, 0, 0, 0, 0, 22, 126
"d:\Codes\SMB_Website\Calculator\binomial_coefficient_calculator\binomialScript.js", "JavaScript", 0, 0, 0, 43, 0, 1, 9, 53
"d:\Codes\SMB_Website\Calculator\calculator_css\calculator_site.css", "CSS", 0, 0, 0, 0, 4, 0, 0, 4
"d:\Codes\SMB_Website\Calculator\measuring_units_calculator\js\cubicUnitCalculator.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Codes\SMB_Website\Calculator\measuring_units_calculator\js\normalUnitCalculator.js", "JavaScript", 0, 0, 0, 31, 0, 0, 5, 36
"d:\Codes\SMB_Website\Calculator\measuring_units_calculator\unitCalculator.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Codes\SMB_Website\Calculator\measuring_units_calculator\unitCalculator.html", "HTML", 38, 0, 0, 0, 0, 0, 1, 39
"d:\Codes\SMB_Website\Images\Background\stacked-waves-haikei.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"d:\Codes\SMB_Website\competitions.html", "HTML", 133, 0, 0, 0, 0, 0, 17, 150
"d:\Codes\SMB_Website\contacts.html", "HTML", 182, 0, 0, 0, 0, 0, 11, 193
"d:\Codes\SMB_Website\contestSignUp.html", "HTML", 237, 0, 0, 0, 0, 4, 17, 258
"d:\Codes\SMB_Website\css\article-style1.css", "CSS", 0, 0, 0, 0, 209, 0, 36, 245
"d:\Codes\SMB_Website\css\carousel.css", "CSS", 0, 0, 0, 0, 92, 0, 13, 105
"d:\Codes\SMB_Website\css\competitions.css", "CSS", 0, 0, 0, 0, 89, 0, 23, 112
"d:\Codes\SMB_Website\css\contacts.css", "CSS", 0, 0, 0, 0, 234, 0, 44, 278
"d:\Codes\SMB_Website\css\exams.css", "CSS", 0, 0, 0, 0, 44, 0, 8, 52
"d:\Codes\SMB_Website\css\flickity.css", "CSS", 0, 0, 0, 0, 103, 10, 24, 137
"d:\Codes\SMB_Website\css\loading-screen.css", "CSS", 0, 0, 0, 0, 50, 4, 8, 62
"d:\Codes\SMB_Website\css\main-layout.css", "CSS", 0, 0, 0, 0, 186, 1, 45, 232
"d:\Codes\SMB_Website\css\members.css", "CSS", 0, 0, 0, 0, 42, 6, 8, 56
"d:\Codes\SMB_Website\css\navigation.css", "CSS", 0, 0, 0, 0, 124, 0, 25, 149
"d:\Codes\SMB_Website\css\older-article001.css", "CSS", 0, 0, 0, 0, 197, 0, 40, 237
"d:\Codes\SMB_Website\css\older-article002.css", "CSS", 0, 0, 0, 0, 158, 0, 32, 190
"d:\Codes\SMB_Website\css\older-article003.css", "CSS", 0, 0, 0, 0, 196, 0, 41, 237
"d:\Codes\SMB_Website\css\popup.css", "CSS", 0, 0, 0, 0, 45, 0, 7, 52
"d:\Codes\SMB_Website\css\reset.css", "CSS", 0, 0, 0, 0, 7, 0, 3, 10
"d:\Codes\SMB_Website\css\signup-page.css", "CSS", 0, 0, 0, 0, 255, 0, 44, 299
"d:\Codes\SMB_Website\css\site-footer.css", "CSS", 0, 0, 0, 0, 47, 0, 10, 57
"d:\Codes\SMB_Website\css\site.css", "CSS", 0, 0, 0, 0, 12, 0, 1, 13
"d:\Codes\SMB_Website\css\slider.css", "CSS", 0, 0, 0, 0, 69, 0, 11, 80
"d:\Codes\SMB_Website\css\typography.css", "CSS", 0, 0, 0, 0, 4, 0, 1, 5
"d:\Codes\SMB_Website\exams.html", "HTML", 103, 0, 0, 0, 0, 0, 11, 114
